,__lock,avg_dl,avg_idle,avg_irq,avg_rt,balance_callback,cfs,cfs_tasks,clock,clock_idle,clock_pelt,clock_pelt_idle,clock_task,clock_update_flags,cpu,cpu_capacity,curr,has_blocked_load,idle,idle_stamp,last_blocked_load_update_tick,last_seen_need_resched_ns,leaf_cfs_rq_list,lost_idle_time,max_idle_balance_cost,next_balance,nohz_tick_stopped,nr_iowait,nr_numa_running,nr_preferred_running,nr_running,nr_switches,pd,prev_mm,push_busy,rd,sched_count,scratch_mask,sd,tmp_alone_branch,ttwu_pending
nr_switches,2.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,10.0,2.0,8.0,2.0,6.0,30.0,16.0,0.0,14.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
pd,0.0,0.0,4.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0
prev_mm,4.0,4.0,8.0,0.0,4.0,4.0,8.0,4.0,20.0,4.0,16.0,4.0,12.0,60.0,32.0,0.0,28.0,0.0,4.0,0.0,0.0,8.0,0.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
push_busy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd,4.0,4.0,16.0,2.0,4.0,4.0,94.0,2.0,16.0,2.0,12.0,2.0,6.0,44.0,52.0,2.0,42.0,0.0,20.0,8.0,2.0,2.0,4.0,8.0,2.0,2.0,0.0,2.0,24.0,26.0,46.0,2.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,12.0
sched_count,6.0,0.0,6.0,0.0,0.0,6.0,26.0,4.0,14.0,0.0,12.0,0.0,10.0,56.0,32.0,0.0,26.0,0.0,2.0,8.0,0.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0,2.0,4.0,16.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0
scratch_mask,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sd,4.0,2.0,2.0,2.0,2.0,4.0,28.0,0.0,16.0,0.0,12.0,0.0,10.0,38.0,28.0,0.0,10.0,2.0,0.0,4.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
tmp_alone_branch,2.0,0.0,6.0,0.0,0.0,2.0,20.0,6.0,2.0,0.0,12.0,0.0,4.0,30.0,20.0,0.0,22.0,0.0,2.0,6.0,0.0,0.0,10.0,10.0,2.0,0.0,0.0,0.0,2.0,6.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
ttwu_pending,6.0,4.0,18.0,8.0,4.0,6.0,936.0,2.0,18.0,0.0,18.0,0.0,10.0,60.0,310.0,40.0,232.0,2.0,214.0,10.0,2.0,0.0,6.0,14.0,2.0,0.0,0.0,0.0,278.0,282.0,460.0,0.0,8.0,0.0,0.0,12.0,4.0,0.0,4.0,2.0,0.0
